Date,Weekday,Month,TrainNo,TrainType,Direction,TripLine,StationID,StopSeq,ScheduledArr,FirstDep,LastArr,Period,IsHoliday,HolidayType,IsTerminal,RunMin,StationClass,SideTrackCount,IsDouble,MixIndex,SpeedDiff,PrevDelay,DelayTime,IsDelayed,IsDelayed_Research,StationName
2026-03-01,,,1192,區間,0,0.0,0900,32.0,15:09,12:30,15:09,離峰,1,週末,1,5.0,,,,1.0,0.0,1.0,0,0,0,基隆
2026-03-01,,,1194,區間,0,0.0,7360,28.0,14:55,12:40,14:55,離峰,1,週末,1,6.0,,,,2.0,28.0,0.0,2,0,1,瑞芳
2026-03-01,,,1197,區間,1,1.0,3160,39.0,16:49,13:30,16:49,離峰,1,週末,1,5.0,,,,3.0,22.0,6.0,5,1,1,苗栗
2026-03-01,,,1198,區間,0,1.0,0900,39.0,15:28,12:12,15:28,離峰,1,週末,1,5.0,,,,1.0,0.0,6.0,3,0,1,基隆
2026-03-01,,,120,自強,0,2.0,0930,27.0,15:53,10:01,15:53,離峰,1,週末,1,10.0,,,,4.0,114.0,0.0,1,0,0,七堵
2026-03-01,,,1201,區間,1,0.0,1210,32.0,16:49,14:18,16:49,離峰,1,週末,1,4.0,,,,3.0,25.0,1.0,2,0,1,新竹
2026-03-01,,,1202,區間,0,0.0,0900,32.0,16:09,13:33,16:09,離峰,1,週末,1,5.0,,,,1.0,0.0,0.0,0,0,0,基隆
2026-03-01,,,1203,區間,1,0.0,1150,27.0,16:06,13:58,16:06,離峰,1,週末,1,3.0,,,,1.0,2.0,1.0,0,0,0,北湖
2026-03-01,,,1207,區間,1,1.0,3160,39.0,17:48,14:36,17:48,尖峰,1,週末,1,5.0,,,,3.0,7.0,0.0,1,0,0,苗栗
2026-03-01,,,1208,區間,0,1.0,0900,39.0,16:30,13:13,16:30,離峰,1,週末,1,5.0,,,,1.0,0.0,0.0,0,0,0,基隆
2026-03-01,,,121,自強,1,1.0,5000,24.0,16:16,10:29,16:16,離峰,1,週末,1,13.0,,,,3.0,43.0,0.0,0,0,0,屏東
2026-03-01,,,1212,區間,0,0.0,0900,32.0,17:10,14:28,17:10,尖峰,1,週末,1,5.0,,,,2.0,2.0,0.0,0,0,0,基隆
2026-03-01,,,1214,區間,0,0.0,0900,27.0,16:53,14:44,16:53,離峰,1,週末,1,5.0,,,,1.0,0.0,1.0,0,0,0,基隆
2026-03-01,,,1217,區間,1,1.0,3160,39.0,18:33,15:29,18:33,尖峰,1,週末,1,5.0,,,,3.0,22.0,6.0,14,1,1,苗栗
2026-03-01,,,1218,區間,0,1.0,0900,39.0,17:25,14:13,17:25,尖峰,1,週末,1,5.0,,,,2.0,2.0,0.0,0,0,0,基隆
2026-03-01,,,122,自強,0,1.0,0900,28.0,17:54,11:24,17:54,尖峰,1,週末,1,7.0,,,,2.0,2.0,0.0,0,0,0,基隆
2026-03-01,,,1221,區間,1,0.0,1150,27.0,18:06,15:54,18:06,尖峰,1,週末,1,3.0,,,,1.0,2.0,6.0,5,1,1,北湖
2026-03-01,,,1222,區間,0,0.0,0900,32.0,18:00,15:28,18:00,尖峰,1,週末,1,5.0,,,,2.0,0.0,21.0,20,1,1,基隆
2026-03-01,,,1223,區間,1,0.0,1210,33.0,18:48,16:09,18:48,尖峰,1,週末,1,4.0,,,,3.0,39.0,0.0,1,0,0,新竹
2026-03-01,,,1226,區間,0,0.0,0900,15.0,18:29,17:24,18:29,尖峰,1,週末,1,5.0,,,,2.0,0.0,0.0,0,0,0,基隆
2026-03-01,,,1227,區間,1,1.0,3160,39.0,19:48,16:22,19:48,尖峰,1,週末,1,5.0,,,,3.0,21.0,1.0,0,0,0,苗栗
2026-03-01,,,1228,區間,0,1.0,0900,39.0,18:21,15:06,18:21,尖峰,1,週末,1,5.0,,,,2.0,0.0,2.0,2,0,1,基隆
2026-03-01,,,123,自強,1,1.0,5000,26.0,17:23,11:29,17:23,尖峰,1,週末,1,8.0,,,,4.0,10.0,1.0,1,0,0,屏東
2026-03-01,,,1231,區間,1,0.0,1170,29.0,19:05,16:40,19:05,尖峰,1,週末,1,6.0,,,,2.0,1.0,1.0,1,0,0,新豐
2026-03-01,,,1232,區間,0,0.0,0900,32.0,19:11,16:24,19:11,尖峰,1,週末,1,5.0,,,,2.0,2.0,0.0,0,0,0,基隆
2026-03-01,,,1234,區間,0,0.0,0900,32.0,18:48,16:12,18:48,尖峰,1,週末,1,5.0,,,,2.0,0.0,0.0,0,0,0,基隆
2026-03-01,,,1235,區間,1,0.0,1210,32.0,19:58,17:28,19:58,尖峰,1,週末,1,4.0,,,,4.0,24.0,2.0,3,0,1,新竹
2026-03-01,,,1237,區間,1,1.0,3160,39.0,21:01,17:46,21:01,離峰,1,週末,1,5.0,,,,2.0,21.0,3.0,2,0,1,苗栗
2026-03-01,,,1238,區間,0,1.0,0900,39.0,19:29,16:15,19:29,尖峰,1,週末,1,5.0,,,,2.0,2.0,2.0,0,0,0,基隆
2026-03-01,,,1239,區間,1,0.0,1150,24.0,19:24,17:30,19:24,尖峰,1,週末,1,3.0,,,,1.0,1.0,0.0,0,0,0,北湖
2026-03-01,,,124,傾斜式自強,0,1.0,0980,10.0,16:26,12:05,16:26,離峰,1,週末,1,4.0,,,,3.0,2.0,0.0,0,0,0,南港
2026-03-01,,,1241,區間,1,0.0,1210,32.0,20:49,18:17,20:49,離峰,1,週末,1,4.0,,,,5.0,67.0,4.0,5,1,1,新竹
2026-03-01,,,1242,區間,0,0.0,0900,32.0,20:14,17:44,20:14,離峰,1,週末,1,5.0,,,,2.0,2.0,6.0,7,1,1,基隆
2026-03-01,,,1243,區間,1,0.0,1160,28.0,20:14,18:01,20:14,離峰,1,週末,1,4.0,,,,3.0,8.0,3.0,2,0,1,湖口
2026-03-01,,,1247,區間,1,1.0,3160,39.0,21:51,18:35,21:51,離峰,1,週末,1,5.0,,,,2.0,21.0,21.0,14,1,1,苗栗
2026-03-01,,,1248,區間,0,1.0,0900,39.0,20:45,17:18,20:45,離峰,1,週末,1,5.0,,,,2.0,2.0,11.0,9,1,1,基隆
2026-03-01,,,125,自強,1,1.0,5050,25.0,18:33,12:26,18:33,尖峰,1,週末,1,13.0,,,,3.0,9.0,0.0,0,0,0,潮州
2026-03-01,,,1251,區間,1,0.0,1250,36.0,21:50,19:00,21:50,離峰,1,週末,1,6.0,,,,4.0,11.0,4.0,4,0,1,竹南
2026-03-01,,,1252,區間,0,0.0,0900,32.0,21:04,18:34,21:04,離峰,1,週末,1,5.0,,,,1.0,0.0,8.0,5,1,1,基隆
2026-03-01,,,1254,區間,0,0.0,0900,27.0,20:54,18:49,20:54,離峰,1,週末,1,5.0,,,,2.0,2.0,9.0,7,1,1,基隆
2026-03-01,,,1257,區間,1,1.0,3190,42.0,23:16,19:30,23:16,離峰,1,週末,1,8.0,,,,1.0,1.0,4.0,4,0,1,三義
2026-03-01,,,1258,區間,0,1.0,0900,39.0,21:13,18:06,21:13,離峰,1,週末,1,5.0,,,,1.0,0.0,11.0,6,1,1,基隆
2026-03-01,,,126,自強,0,2.0,0930,17.0,19:26,15:13,19:26,尖峰,1,週末,1,10.0,,,,3.0,56.0,1.0,2,0,1,七堵
2026-03-01,,,1261,區間,1,0.0,1110,23.0,21:42,19:55,21:42,離峰,1,週末,1,6.0,,,,1.0,2.0,6.0,6,1,1,埔心
2026-03-01,,,1262,區間,0,0.0,0900,32.0,21:35,18:59,21:35,離峰,1,週末,1,5.0,,,,1.0,0.0,6.0,3,0,1,基隆
2026-03-01,,,1263,區間,1,0.0,1210,32.0,22:42,20:18,22:42,離峰,1,週末,1,4.0,,,,2.0,25.0,0.0,1,0,0,新竹
2026-03-01,,,1265,區間,1,1.0,3160,13.0,23:25,22:26,23:25,離峰,1,週末,1,5.0,,,,2.0,6.0,0.0,0,0,0,苗栗
