StationID,AvgDelay,DelayRate,TotalObs,StationName
0900,1.2014388489208634,0.09352517985611511,139,基隆
0930,1.106628242074928,0.08069164265129683,347,七堵
0950,1.288888888888889,0.07301587301587302,315,五堵
0960,1.3356164383561644,0.0821917808219178,292,汐止
0980,1.1473429951690821,0.06038647342995169,414,南港
0990,1.1870503597122302,0.05935251798561151,556,松山
1000,1.3274021352313168,0.07829181494661921,562,臺北
1001,0.3333333333333333,0.0,3,臺北-環島
1010,1.2304832713754648,0.08178438661710037,269,萬華
1020,1.3101160862354893,0.0945273631840796,603,板橋
1040,1.2129380053908356,0.09433962264150944,371,樹林
1060,1.2361111111111112,0.0787037037037037,216,山佳
1070,1.1796875,0.0859375,256,鶯歌
1080,1.1811224489795917,0.08418367346938775,392,桃園
1090,1.225531914893617,0.09787234042553192,235,內壢
1100,1.223463687150838,0.09497206703910614,358,中壢
1110,1.2115384615384615,0.07211538461538461,208,埔心
1120,1.1764705882352942,0.07983193277310924,238,楊梅
1130,1.0558139534883721,0.06046511627906977,215,富岡
1150,1.16751269035533,0.08121827411167512,197,北湖
1160,1.0852017937219731,0.07623318385650224,223,湖口
1170,1.2857142857142858,0.10476190476190476,210,新豐
1180,1.1162790697674418,0.06511627906976744,215,竹北
1190,1.2030456852791878,0.09644670050761421,197,北新竹
1210,1.4555256064690028,0.10512129380053908,371,新竹
1230,1.3111111111111111,0.07555555555555556,225,香山
1250,1.231023102310231,0.09900990099009901,303,竹南
2110,1.6575342465753424,0.1232876712328767,73,談文
2120,1.5625,0.109375,64,大山
2130,1.5948275862068966,0.08620689655172414,116,後龍
2150,1.2592592592592593,0.06172839506172839,81,白沙屯
2160,1.671641791044776,0.11940298507462686,67,新埔
2170,1.1932773109243697,0.07563025210084033,119,通霄
2180,1.1956521739130435,0.07971014492753623,138,苑裡
2190,1.0425531914893618,0.06382978723404255,94,日南
2200,1.3783783783783783,0.07432432432432433,148,大甲
2210,1.055045871559633,0.06422018348623854,109,臺中港
2220,0.8368794326241135,0.03546099290780142,141,清水
2230,1.1232876712328768,0.04794520547945205,146,沙鹿
2240,1.150943396226415,0.05660377358490566,106,龍井
2250,0.975,0.058333333333333334,120,大肚
2260,0.6454545454545455,0.00909090909090909,110,追分
3160,1.316017316017316,0.10822510822510822,231,苗栗
3180,1.3296703296703296,0.07692307692307693,91,銅鑼
3190,1.5769230769230769,0.11538461538461539,104,三義
3220,1.0384615384615385,0.07692307692307693,130,后里
3230,0.934931506849315,0.05136986301369863,292,豐原
3250,0.7706422018348624,0.06422018348623854,218,潭子
3280,0.8033707865168539,0.033707865168539325,178,太原
3300,1.0398936170212767,0.06382978723404255,376,臺中
3340,0.9098360655737705,0.05737704918032787,244,新烏日
3350,1.0397727272727273,0.08522727272727272,176,成功
3360,0.894878706199461,0.05390835579514825,371,彰化
3370,1.0942028985507246,0.07971014492753623,138,花壇
3390,1.197879858657244,0.0706713780918728,283,員林
3410,1.0133333333333334,0.07333333333333333,150,社頭
3420,1.0862944162436547,0.06091370558375635,197,田中
3430,1.2590361445783131,0.0783132530120482,166,二水
3431,0.0,0.0,4,源泉
3450,1.3356164383561644,0.0821917808219178,146,林內
3470,1.3068592057761732,0.08303249097472924,277,斗六
3480,1.5380710659898478,0.10152284263959391,197,斗南
4050,1.1772151898734178,0.06962025316455696,158,大林
4060,0.8813559322033898,0.05084745762711865,177,民雄
4080,1.1490196078431372,0.047058823529411764,255,嘉義
4090,1.1774193548387097,0.08064516129032258,62,水上
4100,1.048,0.064,125,南靖
4110,1.3362068965517242,0.07758620689655173,116,後壁
4120,1.2943548387096775,0.05241935483870968,248,新營
4140,1.193798449612403,0.07751937984496124,129,林鳳營
4150,1.1388888888888888,0.04861111111111111,144,隆田
4170,1.4357798165137614,0.0871559633027523,218,善化
4190,1.2323232323232323,0.06565656565656566,198,新市
4200,1.1855203619909502,0.06334841628959276,221,永康
4220,0.9746192893401016,0.0532994923857868,394,臺南
4250,0.8543307086614174,0.047244094488188976,254,保安
4270,0.8022388059701493,0.04477611940298507,268,中洲
4272,1.0,0.05555555555555555,72,沙崙
4290,1.1370967741935485,0.056451612903225805,124,大湖
4300,1.089430894308943,0.056910569105691054,123,路竹
4310,1.227027027027027,0.07567567567567568,185,岡山
4320,1.1016949152542372,0.059322033898305086,118,橋頭
4330,1.1450381679389312,0.061068702290076333,131,楠梓
4340,0.8910256410256411,0.057692307692307696,312,新左營
4370,0.9779005524861878,0.06629834254143646,181,美術館
4400,1.041025641025641,0.05897435897435897,390,高雄
4440,0.9913544668587896,0.04899135446685879,347,鳳山
4460,0.9487179487179487,0.054945054945054944,273,九曲堂
5000,0.8864265927977839,0.0664819944598338,361,屏東
5030,1.1346153846153846,0.0625,208,西勢
5050,1.008230452674897,0.06584362139917696,243,潮州
5070,0.5789473684210527,0.017543859649122806,114,南州
5090,0.8207547169811321,0.02830188679245283,106,林邊
5100,0.37037037037037035,0.012345679012345678,81,佳冬
5120,0.9380530973451328,0.04424778761061947,113,枋寮
5130,1.3571428571428572,0.14285714285714285,14,加祿
5160,1.2857142857142858,0.14285714285714285,14,枋山
5190,0.803030303030303,0.045454545454545456,66,大武
5200,0.6956521739130435,0.0,23,瀧溪
5210,1.2244897959183674,0.04081632653061224,49,金崙
5220,0.8620689655172413,0.0,58,太麻里
5230,0.7228915662650602,0.03614457831325301,83,知本
5240,0.2608695652173913,0.0,23,康樂
6000,0.5420560747663551,0.009345794392523364,107,臺東
6010,0.07692307692307693,0.0,26,山里
6020,0.27631578947368424,0.0,76,鹿野
