StationID,StationName,Lat,Lon
6140,富源,23.58031,121.38008
6150,大富,23.60571,121.38963
6160,光復,23.66631,121.42117
6170,萬榮,23.71199,121.41907
6180,鳳林,23.74634,121.44701
6190,南平,23.78231,121.45824
6200,林榮新光,23.80176,121.46169
6210,豐田,23.84842,121.49618
6220,壽豐,23.86901,121.51064
6230,平和,23.88279,121.52045
6240,志學,23.90769,121.5295
6250,吉安,23.96823,121.58266
7000,花蓮,23.99325,121.6008
7010,北埔,24.03253,121.60166
7020,景美,24.09048,121.61078
7030,新城,24.12756,121.64086
7040,崇德,24.17199,121.65536
7050,和仁,24.24225,121.71182
7060,和平,24.29839,121.75344
7070,漢本,24.33543,121.76838
7080,武塔,24.44879,121.77601
7090,南澳,24.46342,121.80103
7100,東澳,24.51827,121.83072
7110,永樂,24.56843,121.84458
7120,蘇澳,24.59516,121.85143
7130,蘇澳新,24.60852,121.82735
7140,新馬,24.61564,121.8229
7150,冬山,24.63633,121.79211
7160,羅東,24.67791,121.77464
7170,中里,24.69415,121.77526
7180,二結,24.70528,121.77409
7190,宜蘭,24.75443,121.75839
7200,四城,24.78681,121.76271
7210,礁溪,24.82703,121.77535
7220,頂埔,24.84391,121.80913
7230,頭城,24.85898,121.82258
7240,外澳,24.88375,121.84572
7250,龜山,24.90484,121.8689
7260,大溪,24.93836,121.88983
7270,大里,24.96677,121.92253
7280,石城,24.97832,121.94507
7290,福隆,25.01595,121.94471
7300,貢寮,25.02197,121.90879
7310,雙溪,25.03851,121.86654
7320,牡丹,25.05871,121.85197
7330,三貂嶺,25.06555,121.82257
7331,大華,25.04998,121.79732
7332,十分,25.04111,121.77514
7333,望古,25.03445,121.76349
7334,嶺腳,25.03016,121.74795
7335,平溪,25.02571,121.74019
7336,菁桐,25.02391,121.72391
7350,猴硐,25.08702,121.82743
7360,瑞芳,25.10893,121.80624
7361,海科館,25.13754,121.79997
7362,八斗子,25.13528,121.80286
7380,四腳亭,25.10281,121.76195
7390,暖暖,25.10231,121.74031
