Date,TaiwanDate,TrainNo,MeanDelay,MaxDelay,ObservedStopCount_Actual,TrainType,Direction,TripLine,CoverageRate,ObservedStopCount,ScheduledStopCount,IsHoliday,HolidayType,Period,TerminalDelay,IsDelayed,IsDelayed_Research
2026-03-18,2026-03-18,1152,0.23076923076923078,2.0,26,區間,0,0,0.7222,26,36,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,1154,0.2,1.0,20,區間,0,0,0.7143,20,28,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,1157,0.5185185185185185,3.0,27,區間,1,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1158,0.6071428571428571,1.0,28,區間,0,1,0.7,28,40,0,平日,尖峰,1.0,0,0
2026-03-18,2026-03-18,116,0.4,2.0,25,自強,0,1,1.0,25,25,0,平日,尖峰,2.0,0,0
2026-03-18,2026-03-18,1160,0.5714285714285714,2.0,14,區間,0,0,0.7778,14,18,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1161,0.2916666666666667,1.0,24,區間,1,0,0.75,24,32,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1162,0.25,2.0,24,區間,0,0,0.75,24,32,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1163,0.05263157894736842,1.0,19,區間,1,0,0.7037,19,27,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1166,0.25,1.0,8,區間,0,0,0.6667,8,12,0,平日,離峰,,0,0
2026-03-18,2026-03-18,1167,0.2962962962962963,1.0,27,區間,1,1,0.6923,27,39,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1168,0.2222222222222222,1.0,27,區間,0,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,117,0.14285714285714285,1.0,28,自強,1,1,0.9655,28,29,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1170,0.0,0.0,8,區間,0,0,0.6667,8,12,0,平日,離峰,,0,0
2026-03-18,2026-03-18,1171,0.48,4.0,25,區間,1,0,0.7576,25,33,0,平日,離峰,4.0,0,0
2026-03-18,2026-03-18,1172,0.043478260869565216,1.0,23,區間,0,0,0.7188,23,32,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1174,0.3684210526315789,1.0,19,區間,0,0,0.7037,19,27,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1177,0.37037037037037035,2.0,27,區間,1,1,0.6923,27,39,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1178,0.037037037037037035,1.0,27,區間,0,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,118,1.24,4.0,25,自強,0,1,1.0,25,25,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1181,0.16666666666666666,1.0,24,區間,1,0,0.75,24,32,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1182,0.3333333333333333,2.0,24,區間,0,0,0.75,24,32,0,平日,離峰,0.0,0,0
